iter	Passed	Remaining
160	10215	21510
161	10276	21441
162	10337	21372
163	10399	21305
164	10462	21241
165	10521	21170
166	10587	21111
167	10654	21056
168	10723	21002
169	10789	20943
170	10855	20886
171	10915	20816
172	10979	20752
173	11040	20685
174	11102	20618
175	11163	20551
176	11224	20483
177	11285	20414
178	11349	20352
179	11410	20285
180	11447	20175
181	11512	20114
182	11575	20051
183	11642	19995
184	11707	19934
185	11771	19872
186	11836	19811
187	11902	19752
188	11963	19686
189	12030	19628
190	12092	19563
191	12156	19500
192	12216	19433
193	12279	19368
194	12340	19301
195	12402	19236
196	12462	19167
197	12527	19108
198	12596	19052
199	12662	18993
200	12727	18932
201	12791	18869
202	12855	18808
203	12919	18745
204	12984	18684
205	13054	18631
206	13116	18565
207	13178	18500
208	13240	18434
209	13301	18369
210	13365	18306
211	13426	18239
212	13489	18175
213	13555	18116
214	13623	18058
215	13693	18004
216	13761	17946
217	13825	17884
218	13888	17820
219	13951	17755
220	14016	17695
221	14079	17631
222	14141	17565
223	14202	17499
224	14262	17432
225	14328	17371
226	14390	17307
227	14452	17242
228	14514	17176
229	14577	17113
230	14648	17058
231	14720	17004
232	14785	16942
233	14849	16880
234	14910	16813
235	14972	16749
236	15036	16686
237	15100	16623
238	15161	16557
239	15223	16491
240	15287	16429
241	15350	16365
242	15415	16304
243	15476	16238
244	15541	16175
245	15610	16118
246	15678	16059
247	15747	16001
248	15810	15937
249	15872	15872
250	15935	15808
251	15997	15743
252	16059	15678
253	16125	15617
254	16191	15556
255	16256	15494
256	16322	15432
257	16383	15367
258	16450	15307
259	16514	15244
260	16582	15184
261	16652	15127
262	16718	15066
263	16785	15004
264	16847	14940
265	16911	14877
266	16975	14813
267	17040	14751
268	17106	14690
269	17169	14625
270	17231	14561
271	17293	14495
272	17352	14428
273	17417	14365
274	17480	14301
275	17540	14235
276	17611	14177
277	17680	14118
278	17747	14057
279	17811	13994
280	17873	13929
281	17935	13865
282	18001	13803
283	18067	13741
284	18130	13677
285	18193	13613
286	18256	13548
287	18316	13482
288	18380	13419
289	18440	13353
290	18501	13287
291	18565	13224
292	18637	13167
293	18705	13106
294	18772	13045
295	18831	12978
296	18896	12915
297	18959	12851
298	19021	12787
299	19085	12723
300	19151	12661
301	19213	12596
302	19276	12532
303	19342	12470
304	19406	12407
305	19471	12344
306	19534	12280
307	19605	12221
308	19676	12162
309	19742	12100
310	19805	12036
311	19870	11973
312	19933	11909
313	19995	11844
314	20059	11781
315	20123	11717
316	20185	11652
317	20248	11588
318	20311	11524
319	20372	11459
320	20434	11394
321	20493	11328
322	20558	11265
323	20626	11204
324	20696	11144
325	20761	11081
326	20822	11016
327	20885	10952
328	20950	10888
329	21014	10825
330	21079	10762
331	21141	10698
332	21203	10633
333	21263	10568
334	21328	10505
335	21391	10441
336	21460	10379
337	21529	10318
338	21601	10259
339	21674	10199
340	21740	10136
341	21802	10072
342	21862	10006
343	21925	9942
344	21984	9877
345	22047	9812
346	22109	9748
347	22174	9685
348	22238	9621
349	22300	9557
350	22364	9493
351	22426	9429
352	22490	9365
353	22561	9304
354	22638	9246
355	22710	9186
356	22777	9123
357	22839	9059
358	22902	8994
359	22965	8931
360	23029	8867
361	23094	8804
362	23154	8738
363	23218	8675
364	23280	8610
365	23341	8545
366	23400	8480
367	23462	8415
368	23523	8351
369	23590	8288
370	23660	8226
371	23730	8165
372	23794	8101
373	23860	8038
374	23921	7973
375	23982	7909
376	24044	7844
377	24109	7781
378	24170	7716
379	24243	7655
380	24305	7591
381	24368	7527
382	24432	7463
383	24496	7399
384	24563	7337
385	24634	7275
386	24704	7213
387	24771	7150
388	24836	7086
389	24897	7022
390	24958	6957
391	25019	6893
392	25082	6828
393	25144	6764
394	25206	6700
395	25271	6636
396	25332	6572
397	25394	6508
398	25456	6443
399	25518	6379
