iter	TotalF1:average=Macro	MultiClass
327	0.9021466231	0.2753624307
328	0.9024966168	0.2749696634
329	0.9025171337	0.2746697612
330	0.9024469833	0.274393032
331	0.9025306639	0.2740193714
332	0.9029588926	0.2735871821
333	0.9029669615	0.2735863707
334	0.9032163285	0.2732801059
335	0.9030948876	0.2729111317
336	0.9031767806	0.2724799969
337	0.9034005023	0.27202834
338	0.9037445925	0.2716273554
339	0.9046164683	0.2713296232
340	0.904741628	0.2710465745
341	0.9046069569	0.2707841139
342	0.9049672663	0.2706563758
343	0.9051099213	0.2703444986
344	0.9050157522	0.2703423898
345	0.9052047878	0.2701419755
346	0.9052183304	0.2698398446
347	0.9057528294	0.2695342549
348	0.905680782	0.2694137561
349	0.9059281833	0.2690893377
350	0.9061437432	0.2687310991
351	0.9061587638	0.2687292237
352	0.9060619932	0.2683336145
353	0.9063211119	0.2679549842
354	0.9070832212	0.2674662361
355	0.9069704955	0.2672148064
356	0.9075122014	0.2668519354
357	0.9074948377	0.2666010368
358	0.907708754	0.2662270238
359	0.907713601	0.2658924643
360	0.9080275453	0.2655672424
361	0.9090956391	0.2651613004
362	0.9092045607	0.2649301447
363	0.9099373397	0.2646573299
364	0.9097218014	0.2643596783
365	0.9096276408	0.2641080288
366	0.9093919336	0.2641063817
367	0.9093345951	0.2638686177
368	0.9093554937	0.2636557895
369	0.9098167982	0.2633500344
370	0.9099316504	0.2631195017
371	0.9101417928	0.2627508918
372	0.9100689053	0.2623732519
373	0.910677277	0.2619857878
374	0.9106738573	0.2617832949
375	0.9108558892	0.26147508
376	0.9111460406	0.2612464554
377	0.9116778001	0.2608674867
378	0.9117317448	0.2605107673
379	0.9113125194	0.2601311621
380	0.9111655773	0.2597458129
381	0.9111658842	0.2594632178
382	0.9111913477	0.2592876997
383	0.9116010119	0.2590194771
384	0.911377346	0.2589095261
385	0.911783299	0.2586072287
386	0.912085597	0.2584167496
387	0.9124382403	0.2581308966
388	0.9126176736	0.2578943654
389	0.9126419595	0.2577848981
390	0.9131648936	0.2576136172
391	0.9135805921	0.2573062001
392	0.9137087476	0.2570619273
393	0.9137735657	0.2568896219
394	0.9133064414	0.2564401023
395	0.913845289	0.2561028732
396	0.9142457678	0.255825351
397	0.9142483614	0.2553184811
398	0.9146159379	0.2550984838
399	0.9143770448	0.2549245365
400	0.9143795039	0.2545451238
401	0.9146351559	0.2542742436
402	0.914801737	0.2540384066
403	0.9149138717	0.2538789379
404	0.9150030532	0.2537748652
405	0.9151205377	0.2534631672
406	0.9152851831	0.2533730865
407	0.9150373751	0.2530633485
408	0.9161175171	0.2526751376
409	0.916361198	0.2522333442
410	0.9165243816	0.2520614654
411	0.9163622478	0.2518839851
412	0.9164705355	0.2517287894
413	0.9166349291	0.2514716183
414	0.9166995682	0.2511876509
415	0.9168830367	0.2508849096
416	0.9169085953	0.2505358249
417	0.916870961	0.2502397274
418	0.9172840147	0.249900862
419	0.9171919552	0.2496624901
420	0.9173312961	0.2492823312
421	0.9177102173	0.2488932108
422	0.9180966145	0.2485828451
423	0.9180966145	0.2485823311
424	0.9184866422	0.2482042714
425	0.9189987142	0.2480594513
426	0.9191824899	0.2477837135
427	0.9190980173	0.2475828743
428	0.9196848207	0.2472826652
429	0.9200475459	0.2469921615
430	0.9199282757	0.2466731444
431	0.9202723773	0.2463492044
432	0.9202861841	0.2461186901
433	0.921267686	0.2456010162
434	0.9213752449	0.2453704091
435	0.9213415211	0.2450408745
436	0.9214340645	0.2448596147
437	0.9214804839	0.2444186691
438	0.9216656776	0.2441886003
439	0.9219555352	0.2438795356
440	0.9219479453	0.2438790131
441	0.9219423323	0.2438776646
442	0.922299476	0.2437258763
443	0.9220858782	0.2434056593
444	0.9221974963	0.243088665
445	0.9224734527	0.242861573
446	0.9225078989	0.2424750369
447	0.9226429848	0.2422670462
448	0.9226289354	0.2420025798
449	0.9227525661	0.2417574924
450	0.9230946999	0.2413400493
451	0.9229855035	0.2411891606
452	0.9229760421	0.2409847927
453	0.9230510656	0.2408468731
454	0.9230656542	0.2408367644
455	0.9232936925	0.2406954082
456	0.9236644608	0.2404848564
457	0.9242130529	0.240124269
458	0.9244232269	0.2398848984
459	0.9243950924	0.239824192
460	0.9244065939	0.2395323418
461	0.924960178	0.2391591625
462	0.9250649259	0.2387598887
463	0.925120221	0.238571091
464	0.925146623	0.2385484766
465	0.9251523519	0.238548023
466	0.9251219016	0.2382686122
467	0.9254617869	0.2381002336
468	0.9256799019	0.2378329756
469	0.9257868129	0.2375878427
470	0.9258219685	0.2371962248
471	0.925876768	0.2369647589
472	0.9262097275	0.2367315502
473	0.9261151082	0.2365965163
474	0.9261875991	0.2363536347
475	0.9262523234	0.2362089264
476	0.9266502594	0.2359836319
477	0.9271082919	0.2355330805
478	0.927124386	0.2353121674
479	0.9271620392	0.2352473918
480	0.9271715666	0.2349959706
481	0.927192889	0.2347988961
482	0.9273789405	0.2345024934
483	0.9275028771	0.2342238257
484	0.9274334431	0.2338109654
485	0.9275648694	0.2336991753
486	0.9276534739	0.2334514916
487	0.9279264607	0.233064283
488	0.9282940117	0.2327395659
489	0.9286116835	0.232480741
490	0.9287164535	0.2322389372
491	0.9287152271	0.2319973581
492	0.9287770625	0.231800404
493	0.9285238133	0.2314656414
494	0.9295291677	0.2309258889
495	0.9296986918	0.2307867268
496	0.9300913933	0.2302983458
497	0.9303149427	0.2299985824
498	0.930314146	0.2298076454
499	0.9302777757	0.2296066584
